opinion_id,case_num,start_paragraph_id,stop_paragraph_id,author_appointment_id,author_last_name,ref_appointment_id,ref_last_name,institution_name,institution_class,opinion_class,opinion_size,panel_size,adopt_clerk,intent_deference,interests_positively_affected,interests_negatively_affected
3783,T 5001-98,24,38,"379,52,46,44,42,41,37,38,36,35,33,32,31,30,29","Gregow,Magnusson,Nyström,Svensson,Munck,Danelius,Lennander,Westlander,Thorsson,Regner,Victor,Blomstrand,Pripp,Håstad,Lundius",30,Håstad,Högsta domstolen,final,majority,15,16,0,12,309,310
3784,T 5001-98,39,40,48,Beckman,NA,NA,Högsta domstolen,final,minority,1,16,0,14,310,309
3785,T 516-98,1,22,NA,NA,NA,NA,Göteborgs TR,first,majority,NA,NA,NA,NA,NA,NA
3786,T 516-98,23,31,NA,NA,NA,NA,HovR:n för Västra Sverige,appelate,majority,NA,NA,NA,NA,NA,NA
3787,T 516-98,32,41,"52,42,41,36,29","Magnusson,Munck,Danelius,Thorsson,Lundius",41,Danelius,Högsta domstolen,final,majority,5,5,0,12,300,0
3788,T 5206-98,4,23,NA,NA,NA,NA,Nyköpings TR,first,majority,NA,NA,NA,NA,NA,NA
3789,T 5206-98,24,47,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3790,T 5206-98,48,55,"50,46,38,33,30","Lind,Nyström,Westlander,Victor,Håstad",38,Westlander,Högsta domstolen,final,majority,5,5,0,0,0,0
3792,T 5248-98,1,25,NA,NA,NA,NA,Stockholms TR,first,majority,NA,NA,NA,NA,NA,NA
3793,T 5248-98,26,33,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3794,T 5248-98,34,46,"52,46,41,32,29","Magnusson,Nyström,Danelius,Blomstrand,Lundius",46,Nyström,Högsta domstolen,final,majority,5,5,0,14,0,303
3795,T 5273-98,1,38,NA,NA,NA,NA,Stockholms TR,first,majority,NA,NA,NA,NA,NA,NA
3796,T 5273-98,39,52,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3797,T 5273-98,53,61,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,0,0
3798,T 5273-98,62,72,"52,44,42,32,31","Magnusson,Svensson,Munck,Blomstrand,Pripp",32,Blomstrand,Högsta domstolen,final,majority,5,5,0,12,0,0
3799,T 596-98,5,13,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3800,T 596-98,14,19,NA,NA,NA,NA,Högsta domstolen,appelate,clerk,NA,NA,NA,NA,NA,NA
3801,T 596-98,20,27,"42,33,32,30,29","Munck,Victor,Blomstrand,Håstad,Lundius",32,Blomstrand,Högsta domstolen,final,majority,5,5,0,14,101,401
3802,B 110-93,2,28,NA,NA,NA,NA,Jönköpings TR,first,majority,NA,NA,NA,NA,NA,NA
3803,B 110-93,29,43,NA,NA,NA,NA,Göta HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3804,B 110-93,44,50,NA,NA,NA,NA,Göta HovR,appelate,minority,NA,NA,NA,NA,NA,NA
3805,B 110-93,51,63,"378,55,48,43,42","Knutsson,Gregow,Beckman,Törnell,Munck",43,Törnell,Högsta domstolen,final,majority,5,15,0,14,"305,200",402
3806,B 110-93,64,85,NA,NA,NA,NA,Jönköpings TR,first,majority,NA,NA,NA,NA,NA,NA
3807,B 110-93,86,103,NA,NA,NA,NA,Göta HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3808,B 110-93,104,112,NA,NA,NA,NA,Göta HovR,appelate,minority,NA,NA,NA,NA,NA,NA
3809,B 110-93,113,127,"378,379,48,43,42","Knutsson,Gregow,Beckman,Törnell,Munck",43,Törnell,Högsta domstolen,final,majority,5,15,0,14,401,"305,200"
3810,B 110-93,128,138,NA,NA,NA,NA,Jönköpings TR,first,majority,NA,NA,NA,NA,NA,NA
3811,B 110-93,139,143,NA,NA,NA,NA,Jönköpings TR,first,minority,NA,NA,NA,NA,NA,NA
3812,B 110-93,144,160,NA,NA,NA,NA,Göta HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3813,B 110-93,161,173,"378,379,48,43,42","Knutsson,Gregow,Beckman,Törnell,Munck",48,Beckman,Högsta domstolen,final,majority,5,15,0,14,"305,200",401
3814,B 1132-93,2,12,NA,NA,NA,NA,Värnamo TR,first,majority,NA,NA,NA,NA,NA,NA
3815,B 1132-93,13,24,NA,NA,NA,NA,Göta HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3816,B 1132-93,25,38,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,202,300
3817,B 1132-93,39,52,"42,39,37","Munck,Nilsson,Lennander",42,Munck,Högsta domstolen,final,majority,3,5,0,14,300,202
3818,B 1132-93,53,55,"48,378","Beckman,Knutsson",NA,NA,Högsta domstolen,final,minority,2,5,0,14,202,300
3819,B 1407-93,4,15,NA,NA,NA,NA,Alingsås TR,first,majority,NA,NA,NA,NA,NA,NA
3820,B 1407-93,16,16,NA,NA,NA,NA,HovR:n för Västra Sverige,appelate,majority,NA,NA,NA,NA,NA,NA
3821,B 1407-93,18,35,NA,NA,NA,NA,HovR:n för Västra Sverige,appelate,minority,NA,NA,NA,NA,NA,NA
3822,B 1407-93,36,47,"56,50,40","Heuman,Lind,Lambe",NA,NA,Högsta domstolen,final,majority,3,5,0,13,401,203
3823,B 1407-93,48,54,"324,44","Gad,Svensson",324,Gad,Högsta domstolen,final,minority,2,5,0,14,203,401
3824,B 1537-93,1,17,NA,NA,NA,NA,Borås TR,first,majority,NA,NA,NA,NA,NA,NA
3825,B 1537-93,18,35,NA,NA,NA,NA,HovR:n för Västra Sverige,appelate,majority,NA,NA,NA,NA,NA,NA
3826,B 1537-93,36,49,"55,324,46,43,38","Gregow,Gad,Nyström,Törnell,Westlander",38,Westlander,Högsta domstolen,final,majority,5,5,0,12,0,0
3827,B 1641-93,6,23,NA,NA,NA,NA,Stockholms TR,first,majority,NA,NA,NA,NA,NA,NA
3828,B 1641-93,24,51,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3829,B 1641-93,52,79,"50,62,37","Lind,Bengtsson,Lennander",50,Lind,Högsta domstolen,final,majority,3,5,0,14,401,"203,306,402"
3830,B 1641-93,80,88,"55,46","Gregow,Nyström",NA,NA,Högsta domstolen,final,minority,2,5,0,12,0,0
3831,B 1705-93,2,5,NA,NA,NA,NA,Malmö TR,first,majority,NA,NA,NA,NA,NA,NA
3832,B 1705-93,6,24,NA,NA,NA,NA,Malmö TR,first,minority,NA,NA,NA,NA,NA,NA
3833,B 1705-93,25,37,NA,NA,NA,NA,HovR:n över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
3834,B 1705-93,38,50,"378,48,42","Knutsson,Beckman,Munck",42,Munck,Högsta domstolen,final,majority,3,5,0,12,401,"403,402"
3835,B 1705-93,51,52,"379,39","Gregow,Nilsson",NA,NA,Högsta domstolen,final,minority,2,5,0,12,"403,402",401
3836,B 1719-93,4,20,NA,NA,NA,NA,Stockholms TR,first,majority,NA,NA,NA,NA,NA,NA
3837,B 1719-93,21,32,NA,NA,NA,NA,HovR:n över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
3838,B 1719-93,33,36,NA,NA,NA,NA,HovR:n över Skåne och Blekinge,appelate,minority,NA,NA,NA,NA,NA,NA
3839,B 1719-93,37,52,"378,55,48,47,37","Knutsson,Gregow,Beckman,Solerud,Lennander",47,Solerud,Högsta domstolen,final,majority,5,5,0,12,"402,203",401
3840,B 2108-93,5,145,NA,NA,NA,NA,Stockholms TR,first,majority,NA,NA,NA,NA,NA,NA
3841,B 2108-93,146,232,NA,NA,NA,NA,Svea HovR,appelate,majority,NA,NA,NA,NA,NA,NA
3842,B 2108-93,233,253,NA,NA,NA,NA,Svea HovR,appelate,clerk,NA,NA,NA,NA,NA,NA
3843,B 2108-93,254,265,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,205,401
3844,B 2108-93,266,280,"48,46,40,39,36","Beckman,Nyström,Lambe,Nilsson,Thorsson",46,Nyström,Högsta domstolen,final,majority,5,5,0,0,0,0
3845,B 2182-93,1,2,NA,NA,NA,NA,Malmö TR,first,minority,NA,NA,NA,NA,NA,NA
